,page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,200,B0B1L638D3,"HP Pavilion Laptop (2022 Model), 17.3"" FHD IPS Display, Intel Core i3-1115G4 Processor, 16GB RAM, 256GB PCIe SSD, 1TB HDD, Anti-Glare Screen, Long Battery Life, Webcam, HDMI, Bluetooth, Wi-Fi, Win 11",$589.00,"May 17, 2022",17.3 Inches,Unnamed: 6,1920 x 1080 Pixels,4.1 GHz core_i3,16 GB DDR4,2666 MHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",Unnamed: 16,Unnamed: 17,HP,Pavilion,Pavilion.1,PC,Windows 11,6.89 pounds,Unnamed: 24,Unnamed: 25,Natural Silver,Intel.1,2,DDR4 SDRAM,256 GB,PCIE x 4,Unnamed: 32,Unnamed: 33,Unnamed: 34
6247,200.0,B08X9ZYXK2,"2021 HP Flagship 15.6” HD Laptop Computer, AMD Ryzen 3 3250U up to 3.5GHz (Beat Intel i5-7200U), 8GB RAM, 128GB SSD+1TB HDD, HD Webcam, Remote Work,WiFi, Bluetooth 4.2, HDMI, Win10 S, w/Marxsol Cables",From $458.28,"February 23, 2021",15.6 Inches,1366 x 768,1366 x 768 Pixels,2.6 GHz ryzen_3,8 GB SDRAM,3.5 GHz,1 TB Hybrid,AMD Radeon Vega 3,AMD,Integrated,"Bluetooth, 802.11b",,,HP,"HP Flagship 15.6"" laptop","HP Flagship 15.6"" laptop",PC,Windows 10,3.83 pounds,14.1 x 9.5 x 0.7 inches,,Silver,AMD,2.0,DDR4 SDRAM,128 GB,Serial ATA,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,200.0,B08FCSVNQL,"HP Pavilion 16.1"" Full HD (1920x1080) Gaming Laptop - 10th Gen Intel Core i7-10750H 6-Core up to 5.00 GHz CPU, 32GB DDR4 RAM, 2TB Solid State Drive, NVIDIA GeForce GTX 1660Ti Max-Q, Windows 10 Pro","From $1,299.99","August 6, 2020",16.1 Inches,1920 x 1080 pixels,1920x1080 Pixels,2.6 GHz core_i7,32 GB DDR4,2.6 GHz,2000 GB SSD,NVIDIA GeForce GTX 1660Ti,NVIDIA,Dedicated,Bluetooth,,,HP,HP Pavilion 16,HP Pavilion 16,PC,Windows 10 Pro,5.18 pounds,14.57 x 10.33 x 0.93 inches,,Shadow Black,Intel,6.0,DDR4 SDRAM,32 GB,Solid State,,"Corded Electric, Battery Powered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6252,200.0,B09YVTK26M,"Lenovo 2022 Newest IdeaPad 3 15.6"" HD Touchscreen Laptop Computer, Intel Dual Core i3-1115G4 (Upto 4.1GHz,Beats i5-1030G7), 12GB RAM, 256GB SSD, UHD Graphics,Webcam, 7+ Hours, Win 11 S +MarxsolCable",$529.00,"April 26, 2022",15.6 Inches,,1366 x 768 Pixels,3 GHz core_i3_family,12 GB DDR4,4.1 GHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,2.0,,Lenovo,Newest 15.6 Inch Lenovo IdeaPad 3,Newest 15.6 Inch Lenovo IdeaPad 3,PC,Windows 11 Home S Mode,4.07 pounds,14.26 x 9.98 x 0.78 inches,,Almond,Intel,2.0,DDR4 SDRAM,256 GB,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6253,200.0,B09TWNVYZZ,"Lenovo [Windows 11 Home] Ideapad 3i Laptop, 15.6"" FHD 1080P Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 20GB DDR4 RAM, 512GB PCIe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Almond",Unavailable,"March 4, 2022",15.6 Inches,,1920 x 1080 Pixels,3 GHz core_i3_family,20 GB DDR4,4.1 GHz,512 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,2.0,7 Hours,Lenovo,Ideapad,Ideapad,PC,Windows 11 Home,5.09 pounds,14.14 x 9.31 x 0.78 inches,,Almond,Intel,2.0,DDR4 SDRAM,512 GB,PCIE x 4,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6255,200.0,B09923Z7MN,"Lenovo Legion 5 Pro Gen 6 AMD Gaming Laptop, 16.0"" QHD IPS 165Hz, Ryzen 7 5800H, GeForce RTX 3060 6GB, TGP 130W, Win 10 Home, 16GB RAM | 1TB PCIe SSD, HDMI Cable Bundle","$1,449.99","June 14, 2021",16 Inches,,2560x1600 Pixels,4.4 GHz ryzen_7_5800h,16 GB DDR4,3200 MHz,1 TB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,Bluetooth,,,Lenovo,Lenovo Legion,Lenovo Legion 5 Pro,PC,Windows 10 Home,5.4 pounds,14.02 x 10.41 x 1.07 inches,,Black,AMD,8.0,DDR4 SDRAM,1 TB,Solid State,,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6256,200.0,B0949TSZLL,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch HD Touchscreen, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0080nr, 2021, Snowflake White)",From $299.10,"May 30, 2021",14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB 4 GB DDR4,2400 MHz,Emmc,Intel UHD Graphics 600,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",,10 Hours,HP,14-dq0080nr,14-dq0080nr,,Windows 10 Home,3.24 pounds,12.76 x 8.86 x 0.71 inches,,Snowflake White,Intel,2.0,DDR4 SDRAM,,Solid State,No optical storage drive,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,200.0,B0B3TYNSRZ,"Newest HP 14"" Flagship Laptop, Windows 11 OS, AMD Processor Up to 3.2GHz, 4GB DDR4, 128GB SSD, Webcam, Sparkling Silver (Renewed)",$189.99,"June 11, 2022",14,,1366 x 768 Pixels,,DDR4,,,AMD Radeon Graphics,AMD,,,,,HP,,"HP 14"" Laptop",,Windows 11,4.27 pounds,,,,AMD,,,,,,,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6258,200.0,B0BNQ1FFF7,Lenovo Ideapad Gaming 3i Laptop| 12th Gen Intel Core i5-12500H| NVIDIA GeForce RTX 3050| 15.6 FHD 120Hz| Backlit Keyboard| Wi-Fi 6| USB-C| Windows 11| Webcam| HDMI Cable (32GB RAM | 1TB PCIe SSD),$879.99,"December 1, 2022",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,4.5 GHz core_i5,32 GB DDR4,,1 TB SSD,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,802.11ax,2.0,8 Hours,Lenovo,Lenovo Ideapad Gaming Laptop,,,Windows 11 Home,5.1 pounds,14.16 x 10.49 x 0.86 inches,,32GB RAM | 1TB PCIe SSD,Intel,12.0,DDR4 SDRAM,1 TB,Solid State,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6260,200.0,B09JV96RF7,"[Win 11 Home] 2021 Newest Dell Inspiron 5510 15.6"" FHD Laptop, Intel Core i7-11370H, 16GB RAM, 512GB PCIe SSD, Thunderbolt 4, HDMI, Webcam, Fingerprint Reader, Wi-Fi 6, Backlit Keyboard, Silver","From $1,118.95","October 19, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3.3 GHz core_i7_11370h,16 GB SDRAM,,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,Dell,Inspiron,5510,PC,Windows 11,3.6 pounds,0.71 x 14.02 x 9.01 inches,,Silver,Intel,4.0,DDR4 SDRAM,,PCIE x 4,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6261,200.0,B09LXSWGPZ,"ASUS ZenBook Flip S13 Slim Laptop, 13.3” 4K OLED Touch, Intel Evo Platform Core i7-1165G7, 16GB RAM, 1TB SSD, Thunderbolt 4, TPM, Windows 11 Pro, AI Noise-Cancellation, Jade Black UX371EA-XH76T","$1,155.00","November 16, 2021",13.3 Inches,3840 x 2160 pixels,3840 x 2160 Pixels,4.7 intel_core_i7_1165g7,16 GB DDR4,,1 TB SSD,Intel Iris,Intel,Integrated,,1.0,15 Hours,ASUS,ASUS ZenBook Flip S13,UX371EA-XH76T,Windows,Windows 11 Pro,6.2 pounds,12 x 8 x 0.5 inches,,Jade Black,Intel,4.0,DDR4 SDRAM,1 TB,Thunderbolt,No Drive,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6262,200.0,B0B2Y8BDJM,"2022 HP Chromebook 11.6"" WLED HD Non-Touchscreen Laptop, AMD A4-9120C Processor, 4GB RAM, 32GB eMMC, Webcam, WiFi, Bluetooth, Chrome OS, Black, W/ 2-Week IFT Support",$149.00,"June 1, 2022",11 Inches,1366x768,1366x768 Pixels,2 GHz amd_a4,DDR4,,32 GB SSD,AMD Radeon R4,AMD,"Integrated, Dedicated",801.11ac,2.0,10 Hours,HP,Hp chromebook 11A G8,11A G8,,Chrome OS,3 pounds,11.61 x 8.07 x 0.75 inches,,Black,AMD,2.0,DDR4 SDRAM,32 GB,Solid State,No Optical Drive,,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6264,200.0,B09MFCNLFY,"2021 Latest HP Business Laptop, 17.3"" HD Anti-Glare Display, Intel 11th Gen i3-1115G4(>i5-1035G4), up to 4.1 GHz, 9 hr Battery Life,HDMI, Webcam, Windows 11, Natural Silver (32GB RAM | 1TB PCIe SSD)",$427.02,"November 23, 2021",17.3 Inches,,1600x900 Pixels,4.1 GHz core_i3,32 GB,4.1 GHz,1 TB SSD,Intel UHD Graphics 600,Intel,Integrated,802.11a/b/g/n/ac,3.0,9 Hours,HP,HP,HP,PCD,Windows 11 Home in S Mode,6 pounds,16.33 x 10.72 x 0.96 inches,,Silver,Intel,2.0,DDR4 SDRAM,1 TB,Solid State,,"Corded Electric, Battery Powered",1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6265,200.0,B0872JDR2M,"Lenovo IdeaPad Flex 5 14"" Convertible Laptop, FHD (1920 x 1080) Touch Display, Intel Core i5-1035G1 Processor, 8GB DDR4 Onboard RAM, 128GB SSD, Intel UHD Graphics, Win 10, 81X1004RUS, Graphite Grey",$559.00,"April 13, 2020",14 Inches,,1920 x 1080 Pixels,1 GHz core_i5_1035g1,8 GB DDR4,3200 MHz,128 GB SSD,Intel Integrated Graphics,Intel,Integrated,"Bluetooth, 802.11ax",2.0,10 Hours,Lenovo,"IdeaPad Flex 5 14""",81X1004RUS,PC,Windows 10 Home,3.63 pounds,12.66 x 8.56 x 0.82 inches,,Graphite Grey,Intel,1.0,DDR4 SDRAM,,,,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6266,200.0,B08J42CPHS,"2021 Newest Lenovo ThinkPad E15 Gen 2 15.6"" FHD 1080p Business Laptop (AMD 8-Core Ryzen 7 4700U (Beats i7-10710u), 16GB DDR4 RAM, 512GB PCIe SSD) Wi-Fi 6, Webcam, Windows 10 Pro + HDMI Cable",$762.99,"September 15, 2020",15.6 Inches,1920 x 1080 pixels,,2 GHz amd_ryzen_7,16 GB DDR4,4.1 GHz,512 GB 512GB PCIe NVME SSD,,AMD,Integrated,,,12 Hours,Lenovo,E15,E15,PC,Windows 10,3.75 pounds,14.37 x 9.45 x 0.74 inches,,Black,AMD,8.0,DDR4 SDRAM,512 GB,Solid State,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6267,200.0,B09RKH1P4Z,New ASUS VivoBook 17.3-inch FHD Laptop - Intel Core i5 - 1TB HDD - 12GB RAM - Intel UHD - Windows 10 - Vivo Book 17 X712 Notebook PC,From $477.02,"January 31, 2022",17.3 Inches,,1366 x 768 MP,2 GHz core_i5_family,12 GB SO-DIMM,3.6 GHz,1 TB HDD,Intel,Intel,Integrated,Bluetooth,,,ASUS,ASUS VivoBook,Vivobook 17 X712,PC,Windows 10 Home,7.17 pounds,,,,Intel,4.0,DDR4 SDRAM,,Serial ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6268,200.0,B0BNK4HCZT,"HP 2022 Pavilion 15.6"" FHD IPS Touchscreen Laptop 12th Intel 12-Core i7-1260P Iris Xe Graphics 32GB DDR4 1TB NVMe SSD HDMI2.0 WiFi AX USB-C Backlit KB Fingerprint Windows 11 Home w/ RE Accessories",,"November 28, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz core_i7_family,32 GB DDR4,3200 MHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,8 Hours,HP,HP-15-EG200,HP-15-EG200,PC,Windows 11 Home,7 pounds,14.18 x 9.21 x 0.7 inches,,Silver,Intel,12.0,DDR4 SDRAM,,Solid State,No Optical Drive,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,200.0,B092PZGYYV,"HP 15.6"" Full HD Touch-Screen Laptop, AMD Ryzen 7 4700U, 8GB Memory, 512GB SSD, Windows 10 Home, Natural Silver",$519.00,"April 15, 2021",15.6 Inches,,,4.1 GHz ryzen_7_4700u,8 GB DDR4,4.1 GHz,512 GB SSD,,AMD,Integrated,"Bluetooth, 802.11a",,,HP,,HP 15R7,PC,PC,5.1 pounds,14.11 x 9.5 x 0.78 inches,,Natural silver,AMD,8.0,DDR4 SDRAM,512 GB,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6270,200.0,B09FFW2YDT,"HP Laptop, 14"" HD Screen, Intel Celeron N4020 Processor, 4GB DDR4 Memory, 98GB Storage (64GB eMMC+MTC 32GB Flash Memory), Webcam, WiFi, Bluetooth, 1-Year Microsoft 365, Win 10Home in S, Pale Gold",,"September 3, 2021",14 Inches,1366x768,1366 x 768,1.1 GHz celeron_n4020,4 GB SO-DIMM,2400 MHz,64 GB SSD,Intel UHD Graphics 600,Intel,Integrated,802.11abg,,9 Hours,HP,,HP 14,PC,Windows 10 Home,3.2 pounds,12.76 x 8.86 x 0.71 inches,,Gold,Intel,2.0,DDR4 SDRAM,64 GB,PCIE x 8,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271,200.0,B08HCH2QK5,"HP 15.6"" Ryzen 5 8GB/256GB Laptop-Rose Gold",From $299.00,"September 3, 2020",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4 GHz ryzen_5_3500u,8 GB DDR4,2400 MHz,512 GB SSD,AMD Radeon Vega 8,AMD,Integrated,802.11a/b/g/n/ac,,"10.0, 8.0 Hours",HP,15-ef0025wm,15-ef0025wm,PC,Windows 10 Home,3.75 pounds,14 x 10 x 1 inches,,Rose Gold,AMD,6.0,DDR4 SDRAM,256 GB,Solid State,,Battery Powered,1 Lithium Metal batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272,200.0,B08L8GXD2F,"HP Chromebook 14 Laptop, Dual-core Intel Celeron Processor N3350, 4 GB RAM, 32 GB eMMC Storage, 14-inch FHD IPS Display, Google Chrome OS, Dual Speakers and Audio by B&O (14-ca051nr, 2020)",$288.88,"October 18, 2020",14 Inches,,1920 x 1080 Pixels,2.4 GHz celeron_n3350,4 GB LPDDR4,,32 GB Emmc,Intel HD Graphics 500,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",,11 Hours,HP,HP Chromebook 14 Laptop,14-ca051nr,PC,Chrome OS,3.58 pounds,8.84 x 13.27 x 0.72 inches,,Ceramic White,Intel,2.0,SDRAM,32,USB,No Optical Drive,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6274,200.0,B0BPNCMSB7,"HP 2022 Envy X360 15.6"" FHD IPS Touchscreen 2-in-1 Laptop 12th Intel Core i7-1260P 12-Core Iris Xe Graphics 32GB DDR4 1TB SSD Thunderbolt 4 WiFi 6 Backlit KB FP Reader Win 11 Pro w/ RATZK 32GB USB",,"December 10, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz core_i7_family,32 GB DDR4,3200 MHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3.0,8 Hours,HP,15T-ES200,15T-EW200,PC,Windows 11 Pro,8 pounds,14.13 x 8.98 x 0.72 inches,,Natural Silver,Intel,12.0,DDR4 SDRAM,,PCIE x 4,No Optical Drive,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6275,200.0,B091PB9BZ4,HP 2021 15.6'' HD Laptop PC AMD Dual-Core Ryzen 3 3250U 4GB DDR4 128GB SSD + 1TB HDD AMD Radeon Graphics USB-C HDMI WiFi AC RJ45 Bluetooth Webcam Fast Charge Windows 10 Home,$348.99,"April 4, 2021",15.6 Inches,1366 x 768,1366 x 768 Pixels,2.6 GHz ryzen_3_3250u,4 GB DDR4,,1 TB Hybrid,AMD Radeon Graphics,AMD,Integrated,802.11b,,,HP,1A1L3UA,1A1L3UA,PC,Windows 10 Home,3.8 pounds,9.53 x 9.5 x 0.7 inches,,,AMD,2.0,DDR4 SDRAM,128,Solid State,,Corded Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,200.0,B09G8QGLR1,"Lenovo Legion 5 Pro Gen 6 AMD Gaming Laptop, 16.0"" QHD IPS 165Hz, Ryzen 7 5800H, GeForce RTX 3070 8GB, TGP 140W, Win 10 Home (32GB RAM | 2TB PCIE SSD)","$1,749.99","June 14, 2021",16 Inches,,2560x1600 Pixels,4.4 GHz amd_ryzen_7_5800h,32 GB DDR4,3.2 GHz,2 TB SSD,NVIDIA GeForce RTX 3070,NVIDIA,Dedicated,Bluetooth,,,Lenovo,Lenovo Legion,Lenovo Legion 5 Pro,PC,Windows 10 Home,10.53 pounds,14.02 x 10.41 x 1.07 inches,,Black,AMD,8.0,DDR4 SDRAM,2 TB,Solid State,,Battery Powered,6 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6279,200.0,B08VFGXRWC,"Lenovo ThinkBook 15 G2 are 15.6"" Notebook, AMD Ryzen 5 4600U, 8GB RAM, 256GB SSD, AMD Radeon Graphics, Windows 10 Pro (20VG008UUS)",$499.00,"January 30, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.1 GHz ryzen_5_4600u,8 GB DDR4,,256 GB SSD,AMD Radeon Graphics,AMD,Integrated,,,,Lenovo,ThinkBook 15 G2 ARE,20VG008UUS,PC,Windows 10,5 pounds,20 x 12 x 3 inches,,,AMD Ryzen 5 4600U,1.0,DDR4 SDRAM,256 GB,Serial ATA,,,1 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6280,200.0,B09XJHFNM4,"2022 Newest Lenovo IdeaPad 3i Laptop, 15.6"" FHD Anti-Glare Display, Intel Core i3-1115G4 Processor, Intel UHD Graphics, 20GB RAM, 1TB PCIe SSD, Fingerprint Reader, Bluetooth 5.0, Windows 11",$499.00,"April 8, 2022",15.6 Inches,,1920 x 1080 Pixels,4.1 GHz core_i3_1115g4,20 GB DDR4,2666 MHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a",,,Lenovo,IdeaPad,IdeaPad,PC,Windows 11,3.75 pounds,,,Gold,Intel,2.0,DDR4 SDRAM,,PCIE x 4,,"Corded Electric, Battery Powered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6282,200.0,B082MSPDL8,"Dell Inspiron 17 3793 2020 Premium 17.3” FHD Laptop Notebook Computer, 10th Gen 4-Core Intel Core i5-1035G1 1.0 GHz, 16GB RAM, 512GB SSD + 1TB HDD, DVD,Webcam,Bluetooth,Wi-Fi,HDMI, Win 10 Home","$1,099.00","December 11, 2019",17.3 Inches,,1920 x 1080,1 GHz intel_core_m,16 GB DDR4,,1 TB SSD,Intel Graphics,Intel,Integrated,Bluetooth,1.0,42 Watt Hours,Dell,Dell Laptop,10-DELL-5562,PC,Windows 10,7.68 pounds,,,Black,Intel,4.0,DDR4 SDRAM,512,Serial ATA,No Optical Drive,,1 A batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,200.0,B07PPDFFG9,"HP ENVY 13-13.99 Inches Thin Laptop w/ Fingerprint Reader, 4K Touchscreen, Intel Core i7-8565U, NVIDIA GeForce MX250 Graphics, 16GB SDRAM, 512GB SSD, Windows 10 Home (13-aq0044nr, Natural Silver)","From $1,999.00","April 18, 2019",13.3 Inches,3840 x 2160 pixels,3840 x 2160,1.8 GHz core_i7_family,16 GB DDR4,2400 MHz,512 GB SSD,NVIDIA GeForce MX250,NVIDIA,Dedicated,"802.11n, 802.11b, 802.11g, 801.11ac",,"9.0, 12.0, 5.0 Hours",HP,13-aq0044nr,13-aq0044nr,PC,Windows 10 Home,2.6 pounds,13.3 x 8.9 x 0.9 inches,,Natural Silver,Intel,4.0,Unknown,512,Solid State,,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6284,200.0,B087N1L5ZV,"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0070nr, Forest Teal)",$179.00,"April 26, 2020",14 Inches,,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB 4 GB LPDDR4,2.6 GHz,Embedded MultiMediaCard,,Intel,Integrated,,2.0,13.5 Hours,HP,Chromebook,14a-na0070nr,PC,Chrome OS,3.24 pounds,8.6 x 12.82 x 0.7 inches,,Forest Teal,Intel,2.0,DDR4 SDRAM,,USB,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,200.0,B0BJGT8M57,"HP 17-cn0079cl 17.3"" FHD Laptop Intel Core i7-1165G7 2.8GHz 16GB RAM 512GB SSD Wi-Fi Bluetooth Webcam Windows 11 Home(Renewed)",$599.99,"July 9, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz apple_ci7,DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel,Intel Iris X Graphics,802.11a/b/g/n/ac,2.0,,HP,HP 17-cn0079cl,HP 17-cn0079cl,PC,Windows 11 Home,6.45 pounds,17 x 3 x 12 inches,,Silver,Intel,1.0,DDR4 SDRAM,,Solid State,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6287,200.0,B0B778QVGV,"Dell Latitude 5000 5520 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-1185G7 Quad-core (4 Core) 3 GHz - 8 GB Total RAM - 256 GB SSD - Titan Gray","$2,199.00","July 21, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz core_i7,,,256 GB SSD,Intel Iris Xe Graphics,Intel,Iris Xe Graphics,,,,Dell,Latitude 5000,5520,PC,Windows 10 Pro,3.51 pounds,19.4 x 12.7 x 2.9 inches,,Titan Gray,Intel,1.0,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6288,200.0,B07PPQR2SX,"Dell Latitude 3190 Intel Celeron N4100 X4 2.4GHz 4GB 64GB 11.6in Win10, Black (Renewed)",$129.99,"February 25, 2019",11.6 Inches,,,2.4 GHz celeron,4 GB DDR4,,Emmc,,Intel,Integrated,"Bluetooth, 802.11abg",,,Dell,Dell Latitude,,,Windows 10,2.79 pounds,11.94 x 8.11 x 0.82 inches,,,Intel,4.0,DDR4 SDRAM,64 GB,,,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6290,200.0,B06ZYS5N47,"Lenovo 15.6-Inch High Performance Laptop PC, Intel Dual-Core N3060 Processor, 4GB DDR3 RAM, 500GB Hard Drive, DVD RW, HDMI, Wi-Fi, Bluetooth, Webcam, HDMI, USB 3.0, Windows 10",,"April 18, 2017",15.6 Inches,,,,4 GB,1600 MHz,500 GB,AMD Radeon R4,AMD,Dedicated,Bluetooth,,3 Hours,Lenovo,,B06ZYS5N47,,Windows 10 Home,11.5 ounces,,,,Intel,2.0,SDRAM,,,,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292,200.0,B09F5SHRTB,Dell Inspiron 3000 15” Laptop Intel Celeron – 256GB SSD – 8GB DDR4 – 1.8GHz - Intel UHD Graphics - Windows 10 PRO- Inspiron 15 3000 Series - New,,"September 1, 2021",15.6 Inches,1366x768,1366 x 768 Pixels,1.8 GHz celeron_n,12 GB DDR4,2666 MHz,1 TB Hybrid,Intel UHD Graphics,Intel,Integrated,801.11ac,2.0,,Dell,Dell Inspiron,Dell Inspiron 3000,PC,Windows 10 Pro,6.33 pounds,19.37 x 12.91 x 2.91 inches,,Black,Intel,2.0,DDR4 SDRAM,256 GB,ATA,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6293,200.0,B098M1H8CW,"Lenovo IdeaPad 14"" Laptop, HD Anti-Glare 220nits Laptop for Students, AMD Athlon Silver 3050e, 4GB RAM, 256GB SSD, 1 Year Office 365 Personal, Webcam, USB-C, HDMI, Windows 10, TWE Bundle",$299.00,"July 4, 2021",14 Inches,,1366x768 Pixels,2.8 GHz amd_a_series,4 GB DDR4,2.8 GHz,256 GB SSD,Integrated AMD Radeon Graphics,AMD,Integrated,Infrared,,,Lenovo,Lenovo Ideapad,IdeaPad 1,PC,Windows 10 S,3.09 pounds,12.88 x 9.25 x 0.78 inches,,Ice Blue,AMD,2.0,DDR4 SDRAM,256 GB,Solid State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6294,200.0,B08RY69MX4,"2021 HP Premium Chromebook 14"" HD Touchscreen Laptop, Intel Celeron N3350 Dual-core (up to 2.4GHz), 4GB RAM, 32GB eMMC, 10+ Hours Battery, HD Webcam, USB-A&C, Chrome OS, WiFi w/Marxsol Cables",$279.00,"January 4, 2021",14 Inches,,1366 x 768 Pixels,1.1 GHz celeron,4 GB DDR3,,32 GB SSD,Intel HD Graphics 500,Intel,Integrated,Bluetooth,,,HP,HP Premium Touchscreen Chromebook,HP Premium touchscreen Chromebook,PC,Chrome OS,3.4 pounds,13.3 x 8.9 x 0.7 inches,,Gray,Intel,2.0,DDR3 SDRAM,32 GB,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
